Language	Entropy	Count	Type	Model	LR
Basque	2.77384387272	23	MIWord5_Content_Bugfix.py	REVERSE	0.001
Basque	2.79083323519	75	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Basque	3.52586809714	18	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Basque	2.89128629325	15	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Basque	3.14259192824	17	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Basque	2.75917891742	18	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Basque	2.93344848767	23	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Basque	3.87516443492	26	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Basque	4.59152590187	24	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Breton-Adap	4.22846353679	31	MIWord5_Bugfix.py	REAL_REAL	0.001
Breton-Adap	6.22142011844	14	MIWord5_Bugfix.py	REVERSE	0.001
Breton-Adap	2.55204754922	14	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Breton-Adap	2.59010944	11	MIWord5_Content_Bugfix.py	REVERSE	0.001
Breton-Adap	2.71417697285	91	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Breton-Adap	2.74020093388	81	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Breton-Adap	2.81706270305	32	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Breton-Adap	4.0618840977	10	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Breton-Adap	3.05160403543	26	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Breton-Adap	4.2816291985	9	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Breton-Adap	4.1488221617	32	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Breton-Adap	6.83299012743	7	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Bulgarian	2.65601793922	24	MIWord5_Bugfix.py	REAL_REAL	0.001
Bulgarian	3.67101611966	15	MIWord5_Bugfix.py	REVERSE	0.001
Bulgarian	1.59891037177	23	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Bulgarian	2.39572502675	13	MIWord5_Content_Bugfix.py	REVERSE	0.001
Bulgarian	2.54260531443	31	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Bulgarian	3.05092913428	42	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Bulgarian	1.86365474102	17	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
